profile,tR_us,page_kb,planes_per_die,die_cap_gb,channels,dies_per_channel,n_planes,capacity_TB,lanes,freq_mhz,ecc,batch,dense_fp8,ch_bw_gbps,tok_s,tpot_ms,J_per_token,bottleneck_expert,bottleneck_dense,sensed_GB_per_token,total_lanes
slc-z,1,2,8,8,32,16,4096,4.1,16,400.0,0.0,64,True,3.2,10.961,5839.1,2.17,compute,compute,16.4,65536
slc-z,1,2,8,8,32,16,4096,4.1,32,400.0,0.0,1,False,3.2,9.855,101.5,17.13,sense,sense,137.0,131072
slc-z,1,2,8,8,32,16,4096,4.1,32,400.0,0.0,1,True,3.2,15.679,63.8,10.45,sense,sense,83.1,131072
slc-z,1,2,8,8,32,16,4096,4.1,32,400.0,0.0,4,False,3.2,23.017,173.8,6.7,channel,sense,52.9,131072
slc-z,1,2,8,8,32,16,4096,4.1,32,400.0,0.0,4,True,3.2,29.392,136.1,5.03,channel,sense,39.5,131072
slc-z,1,2,8,8,32,16,4096,4.1,32,400.0,0.0,8,False,3.2,25.997,307.7,4.87,channel,channel,38.2,131072
slc-z,1,2,8,8,32,16,4096,4.1,32,400.0,0.0,8,True,3.2,30.317,263.9,4.04,channel,channel,31.4,131072
slc-z,1,2,8,8,32,16,4096,4.1,32,400.0,0.0,16,False,3.2,24.934,641.7,3.81,channel,channel,29.6,131072
slc-z,1,2,8,8,32,16,4096,4.1,32,400.0,0.0,16,True,3.2,27.349,585.0,3.39,channel,channel,26.2,131072
slc-z,1,2,8,8,32,16,4096,4.1,32,400.0,0.0,32,False,3.2,21.23,1507.3,3.03,channel,channel,23.3,131072
slc-z,1,2,8,8,32,16,4096,4.1,32,400.0,0.0,32,True,3.2,22.457,1424.9,2.82,channel,channel,21.6,131072
slc-z,1,2,8,8,32,16,4096,4.1,32,400.0,0.0,64,False,3.2,17.379,3682.7,2.27,channel,channel,17.2,131072
slc-z,1,2,8,8,32,16,4096,4.1,32,400.0,0.0,64,True,3.2,18.033,3549.0,2.17,channel,channel,16.4,131072
slc-z,1,2,8,8,64,8,4096,4.1,1,400.0,0.0,1,False,3.2,8.989,111.2,17.13,compute,compute,137.0,4096
slc-z,1,2,8,8,64,8,4096,4.1,1,400.0,0.0,1,True,3.2,10.445,95.7,10.45,compute,compute,83.1,4096
slc-z,1,2,8,8,64,8,4096,4.1,1,400.0,0.0,4,False,3.2,5.666,706.0,6.7,compute,compute,52.9,4096
slc-z,1,2,8,8,64,8,4096,4.1,1,400.0,0.0,4,True,3.2,5.793,690.5,5.03,compute,compute,39.5,4096
slc-z,1,2,8,8,64,8,4096,4.1,1,400.0,0.0,8,False,3.2,3.518,2273.9,4.87,compute,compute,38.2,4096
slc-z,1,2,8,8,64,8,4096,4.1,1,400.0,0.0,8,True,3.2,3.542,2258.4,4.04,compute,compute,31.4,4096
slc-z,1,2,8,8,64,8,4096,4.1,1,400.0,0.0,16,False,3.2,2.071,7726.9,3.81,compute,compute,29.6,4096
slc-z,1,2,8,8,64,8,4096,4.1,1,400.0,0.0,16,True,3.2,2.075,7711.4,3.39,compute,compute,26.2,4096
slc-z,1,2,8,8,64,8,4096,4.1,1,400.0,0.0,32,False,3.2,1.241,25793.6,3.03,compute,compute,23.3,4096
slc-z,1,2,8,8,64,8,4096,4.1,1,400.0,0.0,32,True,3.2,1.241,25778.1,2.82,compute,compute,21.6,4096
slc-z,1,2,8,8,64,8,4096,4.1,1,400.0,0.0,64,False,3.2,0.813,78746.0,2.27,compute,compute,17.2,4096
slc-z,1,2,8,8,64,8,4096,4.1,1,400.0,0.0,64,True,3.2,0.813,78730.5,2.17,compute,compute,16.4,4096
slc-z,1,2,8,8,64,8,4096,4.1,4,400.0,0.0,1,False,3.2,15.028,66.5,17.13,compute,sense,137.0,16384
slc-z,1,2,8,8,64,8,4096,4.1,4,400.0,0.0,1,True,3.2,21.706,46.1,10.45,compute,compute,83.1,16384
slc-z,1,2,8,8,64,8,4096,4.1,4,400.0,0.0,4,False,3.2,16.741,238.9,6.7,compute,compute,52.9,16384
slc-z,1,2,8,8,64,8,4096,4.1,4,400.0,0.0,4,True,3.2,17.903,223.4,5.03,compute,compute,39.5,16384
slc-z,1,2,8,8,64,8,4096,4.1,4,400.0,0.0,8,False,3.2,11.979,667.8,4.87,compute,compute,38.2,16384
slc-z,1,2,8,8,64,8,4096,4.1,4,400.0,0.0,8,True,3.2,12.264,652.3,4.04,compute,compute,31.4,16384
slc-z,1,2,8,8,64,8,4096,4.1,4,400.0,0.0,16,False,3.2,7.616,2100.8,3.81,compute,compute,29.6,16384
slc-z,1,2,8,8,64,8,4096,4.1,4,400.0,0.0,16,True,3.2,7.673,2085.3,3.39,compute,compute,26.2,16384
slc-z,1,2,8,8,64,8,4096,4.1,4,400.0,0.0,32,False,3.2,4.746,6742.9,3.03,compute,compute,23.3,16384
slc-z,1,2,8,8,64,8,4096,4.1,4,400.0,0.0,32,True,3.2,4.757,6727.4,2.82,compute,compute,21.6,16384
slc-z,1,2,8,8,64,8,4096,4.1,4,400.0,0.0,64,False,3.2,3.17,20191.6,2.27,compute,compute,17.2,16384
slc-z,1,2,8,8,64,8,4096,4.1,4,400.0,0.0,64,True,3.2,3.172,20176.0,2.17,compute,compute,16.4,16384
slc-z,1,2,8,8,64,8,4096,4.1,8,400.0,0.0,1,False,3.2,15.954,62.7,17.13,compute,sense,137.0,32768
slc-z,1,2,8,8,64,8,4096,4.1,8,400.0,0.0,1,True,3.2,24.697,40.5,10.45,compute,sense,83.1,32768
slc-z,1,2,8,8,64,8,4096,4.1,8,400.0,0.0,4,False,3.2,24.83,161.1,6.7,compute,compute,52.9,32768
slc-z,1,2,8,8,64,8,4096,4.1,8,400.0,0.0,4,True,3.2,27.475,145.6,5.03,compute,compute,39.5,32768
slc-z,1,2,8,8,64,8,4096,4.1,8,400.0,0.0,8,False,3.2,19.992,400.2,4.87,compute,compute,38.2,32768
slc-z,1,2,8,8,64,8,4096,4.1,8,400.0,0.0,8,True,3.2,20.798,384.6,4.04,compute,compute,31.4,32768
slc-z,1,2,8,8,64,8,4096,4.1,8,400.0,0.0,16,False,3.2,13.756,1163.1,3.81,compute,compute,29.6,32768
slc-z,1,2,8,8,64,8,4096,4.1,8,400.0,0.0,16,True,3.2,13.942,1147.6,3.39,compute,compute,26.2,32768
slc-z,1,2,8,8,64,8,4096,4.1,8,400.0,0.0,32,False,3.2,8.969,3567.8,3.03,compute,compute,23.3,32768
slc-z,1,2,8,8,64,8,4096,4.1,8,400.0,0.0,32,True,3.2,9.008,3552.3,2.82,compute,compute,21.6,32768
slc-z,1,2,8,8,64,8,4096,4.1,8,400.0,0.0,64,False,3.2,6.135,10432.5,2.27,compute,compute,17.2,32768
slc-z,1,2,8,8,64,8,4096,4.1,8,400.0,0.0,64,True,3.2,6.144,10417.0,2.17,compute,compute,16.4,32768
slc-z,1,2,8,8,64,8,4096,4.1,16,400.0,0.0,1,False,3.2,16.123,62.0,17.13,sense,sense,137.0,65536
slc-z,1,2,8,8,64,8,4096,4.1,16,400.0,0.0,1,True,3.2,25.104,39.8,10.45,sense,sense,83.1,65536
slc-z,1,2,8,8,64,8,4096,4.1,16,400.0,0.0,4,False,3.2,31.462,127.1,6.7,compute,sense,52.9,65536
slc-z,1,2,8,8,64,8,4096,4.1,16,400.0,0.0,4,True,3.2,37.5,106.7,5.03,compute,compute,39.5,65536
slc-z,1,2,8,8,64,8,4096,4.1,16,400.0,0.0,8,False,3.2,30.04,266.3,4.87,compute,compute,38.2,65536
slc-z,1,2,8,8,64,8,4096,4.1,16,400.0,0.0,8,True,3.2,31.897,250.8,4.04,compute,compute,31.4,65536
slc-z,1,2,8,8,64,8,4096,4.1,16,400.0,0.0,16,False,3.2,23.046,694.3,3.81,compute,compute,29.6,65536
slc-z,1,2,8,8,64,8,4096,4.1,16,400.0,0.0,16,True,3.2,23.572,678.8,3.39,compute,compute,26.2,65536
slc-z,1,2,8,8,64,8,4096,4.1,16,400.0,0.0,32,False,3.2,16.159,1980.3,3.03,compute,compute,23.3,65536
slc-z,1,2,8,8,64,8,4096,4.1,16,400.0,0.0,32,True,3.2,16.287,1964.8,2.82,compute,compute,21.6,65536
slc-z,1,2,8,8,64,8,4096,4.1,16,400.0,0.0,64,False,3.2,11.525,5552.9,2.27,compute,compute,17.2,65536
slc-z,1,2,8,8,64,8,4096,4.1,16,400.0,0.0,64,True,3.2,11.558,5537.4,2.17,compute,compute,16.4,65536
slc-z,1,2,8,8,64,8,4096,4.1,32,400.0,0.0,1,False,3.2,16.123,62.0,17.13,sense,sense,137.0,131072
slc-z,1,2,8,8,64,8,4096,4.1,32,400.0,0.0,1,True,3.2,25.104,39.8,10.45,sense,sense,83.1,131072
slc-z,1,2,8,8,64,8,4096,4.1,32,400.0,0.0,4,False,3.2,35.684,112.1,6.7,compute,sense,52.9,131072
slc-z,1,2,8,8,64,8,4096,4.1,32,400.0,0.0,4,True,3.2,44.492,89.9,5.03,compute,sense,39.5,131072
slc-z,1,2,8,8,64,8,4096,4.1,32,400.0,0.0,8,False,3.2,38.42,208.2,4.87,compute,channel,38.2,131072
slc-z,1,2,8,8,64,8,4096,4.1,32,400.0,0.0,8,True,3.2,43.439,184.2,4.04,compute,channel,31.4,131072
